Jméno a Příjmení,Pracovní Pozice (Dle Obrázku),Měsíční Hrubá Mzda (Kč Fikt.),Měsíční Odměny/Příplatky (Kč Fikt.),"Celkové Měsíční Náklady Zaměstnavatele (CEN, Kč Fikt.)"
MUDr. Jan Novák,Primář Anesteziologie (ARO),105000,35000,187700
MUDr. Alena Svobodová,Vedoucí lékař Chirurgického OS,98000,30000,175440
Mgr. Petr Dvořák,Vrchní sestra OS,65000,12000,102970
MUDr. Hana Benešová,Lékař JIP ARO,85000,25000,147630
Bc. Tomáš Kříž,Anesteziologická sestra - specialista,48000,11000,83500
Eva Jelínková,Instrumentářka - kardiochirurgie,42000,18000,80436
MUDr. Martin Procházka,Anesteziolog,75000,20000,126850
Lucie Horáková,Staniční sestra OS,55000,13000,90790
Pavel Kučera,Technik Biomedicíny (OS),45000,8000,70850
MUDr. Veronika Veselá,Lékař urgentního příjmu (OS podpora),82000,28000,147000
MUDr. Michal Zelenka,Traumatolog (operatér),90000,30000,160500
Anna Pokorná,Instrumentářka - všeobecná chirurgie,41000,15000,76800
Jiří Hájek,Logistik / Koordinátor OS,46000,7000,70750
MUDr. Kateřina Růžičková,Anesteziolog,78000,22000,133750
MUDr. Filip Staněk,Oční chirurg (operatér),95000,25000,160000
Tereza Králová,Sanitační pracovník OS,28000,4000,43064
MUDr. Oldřich Marek,Ortoped (operatér),92000,28000,158580
Nikola Bílá,Instrumentářka - ortopedie,44000,17000,78372
MUDr. Radek Šimek,Urolog (operatér),88000,27000,149864
Klára Tichá,Anesteziologická sestra,49000,14000,86700
Daniel Horák,Technik centrální sterilizace,40000,6000,62480
MUDr. Lenka Fišerová,ORL chirurg (operatér),83000,24000,138280
MUDr. Ondřej Němec,Transplantolog (hlavní OS),108000,38000,196500
Simona Kolářová,Perioperační sestra (obíhající),45000,12000,79900
MUDr. Adam Sedláček,Kardiochirurg (operatér),110000,40000,200000
Zuzana Malá,Instrumentářka - cévní chirurgie,43000,16000,78300
MUDr. Hynek Urban,Traumatolog (asistent),70000,18000,118000
Nikola Pospíšilová,Instrumentářka - oční sál,40000,15000,73700
MUDr. Vojtěch Král,Cévní chirurg (operatér),91000,29000,156800
Kristýna Jírová,Staniční sestra JIP ARO,58000,15000,96000
MUDr. Josef Randa,Lékař Dětského ARO,77000,23000,131800
Monika Kadlecová,Instrumentářka - plastická chirurgie,42000,14000,74796
Libor Musil,Technik / údržba přístrojů,44000,7000,69400
Bc. Ivana Šťastná,Vzdělávací sestra OS,50000,10000,80700
MUDr. Pavel Zima,Lékař - Algeziolog (bolest na JIP),80000,22000,136640
Daniela Hrubá,Sestra centrální sterilizace,46000,10000,75350
MUDr. Roman Pilař,Plastický chirurg (operatér),93000,26000,154500
Jana Říhová,Instrumentářka - neurochirurgie,47000,19000,88000
MUDr. Lukáš Fiala,Neurochirurg (operatér),102000,33000,179400
Eliška Soukupová,Perioperační sestra (obíhající),43000,11000,74200
MUDr. Václav Černý,Anesteziolog,76000,21000,128500
Marcela Pekařová,Instrumentářka - ORL,41000,13000,73500
MUDr. Kryštof Liška,Lékař - Supervizor OS,95000,35000,178000
Věra Doležalová,Recepční / Administrativa OS,35000,3000,51730
MUDr. Petr Kohoutek,Gynekolog (operatér),89000,26000,150000
Soňa Mrázková,Instrumentářka - laparoskopie,45000,15000,81600
Jaroslav Hladík,Technik JIP ARO,48000,9000,75000
MUDr. Eva Svatošová,Anesteziolog - regionální anestezie,79000,25000,139500
MUDr. Robin Zeman,Anesteziolog - Vedoucí služby,81000,29000,146500
Adéla Vlčková,Instrumentářka - Urologie,46000,17000,84700
