Jméno Zaměstnance,Role / Profese,Pracoviště / Blok,Kontakt Mobil,Kontakt Email
MUDr. Jan Novák,Primář Anesteziologie (ARO),Hlavní operační sály,+444 777 111 222,jan.novak@fnusa.cz
MUDr. Alena Svobodová,Vedoucí lékař Chirurgického OS,Septické operační sály,+444 777 333 444,alena.svobodova@fnusa.cz
Mgr. Petr Dvořák,Vrchní sestra OS,Centrální operační trakt,+444 777 555 666,petr.dvorak@fnusa.cz
MUDr. Hana Benešová,Lékař JIP ARO,Pooperační JIP ARO,+444 777 777 888,hana.benesova@fnusa.cz
Bc. Tomáš Kříž,Anesteziologická sestra - specialista,OS 3 (Neurochirurgie),+444 777 999 000,tomas.kriz@fnusa.cz
Eva Jelínková,Instrumentářka - kardiochirurgie,OS 1 (Kardiochirurgie),+444 777 000 111,eva.jelinkova@fnusa.cz
MUDr. Martin Procházka,Anesteziolog,Hlavní operační sály,+444 777 222 333,martin.prochazka@fnusa.cz
Lucie Horáková,Staniční sestra OS,OS 5 (Traumatologie),+444 777 444 555,lucie.horakova@fnusa.cz
Pavel Kučera,Technik Biomedicíny (OS),Technická podpora OS,+444 777 666 777,pavel.kucera@fnusa.cz
MUDr. Veronika Veselá,Lékař urgentního příjmu (OS podpora),Urgentní operační sál,+444 777 888 999,veronika.vesela@fnusa.cz
MUDr. Michal Zelenka,Traumatolog (operatér),OS 5 (Traumatologie),+444 778 111 222,michal.zelenka@fnusa.cz
Anna Pokorná,Instrumentářka - všeobecná chirurgie,OS 4 (Všeobecná chirurgie),+444 778 333 444,anna.pokorna@fnusa.cz
Jiří Hájek,Logistik / Koordinátor OS,Dispečink operačního bloku,+444 778 555 666,jiri.hajek@fnusa.cz
MUDr. Kateřina Růžičková,Anesteziolog,OS 2 (Gynekologie),+444 778 777 888,katerina.ruzickova@fnusa.cz
MUDr. Filip Staněk,Oční chirurg (operatér),Oční operační sál,+444 778 999 000,filip.stanek@fnusa.cz
Tereza Králová,Sanitační pracovník OS,Úklid a desinfekce OS,+444 778 000 111,tereza.kralova@fnusa.cz
MUDr. Oldřich Marek,Ortoped (operatér),OS 6 (Ortopedie),+444 778 222 333,oldrich.marek@fnusa.cz
Nikola Bílá,Instrumentářka - ortopedie,OS 6 (Ortopedie),+444 778 444 555,nikola.bila@fnusa.cz
MUDr. Radek Šimek,Urolog (operatér),Urologický operační sál,+444 778 666 777,radek.simek@fnusa.cz
Klára Tichá,Anesteziologická sestra,Hlavní operační sály,+444 778 888 999,klara.ticha@fnusa.cz
Daniel Horák,Technik centrální sterilizace,Centrální sterilizace,+444 779 111 222,daniel.horak@fnusa.cz
MUDr. Lenka Fišerová,ORL chirurg (operatér),ORL operační sál,+444 779 333 444,lenka.fiserova@fnusa.cz
MUDr. Ondřej Němec,Transplantolog (hlavní OS),OS 4 (Všeobecná chirurgie),+444 779 555 666,ondrej.nemec@fnusa.cz
Simona Kolářová,Perioperační sestra (obíhající),OS 3 (Neurochirurgie),+444 779 777 888,simona.kolarova@fnusa.cz
MUDr. Adam Sedláček,Kardiochirurg (operatér),OS 1 (Kardiochirurgie),+444 779 999 000,adam.sedlacek@fnusa.cz
Zuzana Malá,Instrumentářka - cévní chirurgie,OS 4 (Všeobecná chirurgie),+444 779 000 111,zuzana.mala@fnusa.cz
MUDr. Hynek Urban,Traumatolog (asistent),OS 5 (Traumatologie),+444 779 222 333,hynek.urban@fnusa.cz
Nikola Pospíšilová,Instrumentářka - oční sál,Oční operační sál,+444 779 444 555,nikola.pospisilova@fnusa.cz
MUDr. Vojtěch Král,Cévní chirurg (operatér),OS 4 (Všeobecná chirurgie),+444 779 666 777,vojtech.kral@fnusa.cz
Kristýna Jírová,Staniční sestra JIP ARO,Pooperační JIP ARO,+444 779 888 999,kristyna.jirova@fnusa.cz
MUDr. Josef Randa,Lékař Dětského ARO,Dětský operační sál,+444 780 111 222,josef.randa@fnusa.cz
Monika Kadlecová,Instrumentářka - plastická chirurgie,OS 7 (Plastická chirurgie),+444 780 333 444,monika.kadlecova@fnusa.cz
Libor Musil,Technik / údržba přístrojů,Technická podpora OS,+444 780 555 666,libor.musil@fnusa.cz
Bc. Ivana Šťastná,Vzdělávací sestra OS,Oddělení vzdělávání OS,+444 780 777 888,ivana.stastna@fnusa.cz
MUDr. Pavel Zima,Lékař - Algeziolog (bolest na JIP),Pooperační JIP ARO,+444 780 999 000,pavel.zima@fnusa.cz
Daniela Hrubá,Sestra centrální sterilizace,Centrální sterilizace,+444 780 000 111,daniela.hruba@fnusa.cz
MUDr. Roman Pilař,Plastický chirurg (operatér),OS 7 (Plastická chirurgie),+444 780 222 333,roman.pilar@fnusa.cz
